filename,filepath,label,split,file_size_kb,width,height,channels,aspect_ratio,mode,corrupt
erythema-annulare-centrifugum-6.jpg,../dataset/train/Urticaria Hives/erythema-annulare-centrifugum-6.jpg,Urticaria Hives,train,80.16,477,720,3,0.662,RGB,False
hives-Urticaria-Acute-66.jpg,../dataset/train/Urticaria Hives/hives-Urticaria-Acute-66.jpg,Urticaria Hives,train,96.81,720,490,3,1.469,RGB,False
Urticaria-Vasculitis-15.jpg,../dataset/train/Urticaria Hives/Urticaria-Vasculitis-15.jpg,Urticaria Hives,train,101.68,474,720,3,0.658,RGB,False
hives-Urticaria-Acute-72.jpg,../dataset/train/Urticaria Hives/hives-Urticaria-Acute-72.jpg,Urticaria Hives,train,78.79,720,482,3,1.494,RGB,False
dermagraphism-19.jpg,../dataset/train/Urticaria Hives/dermagraphism-19.jpg,Urticaria Hives,train,225.63,720,615,3,1.171,RGB,False
dermagraphism-25.jpg,../dataset/train/Urticaria Hives/dermagraphism-25.jpg,Urticaria Hives,train,57.16,720,480,3,1.5,RGB,False
dermagraphism-3.jpg,../dataset/train/Urticaria Hives/dermagraphism-3.jpg,Urticaria Hives,train,169.11,720,596,3,1.208,RGB,False
dermagraphism-31.jpg,../dataset/train/Urticaria Hives/dermagraphism-31.jpg,Urticaria Hives,train,102.99,720,472,3,1.525,RGB,False
hives-Urticaria-Acute-3.jpg,../dataset/train/Urticaria Hives/hives-Urticaria-Acute-3.jpg,Urticaria Hives,train,94.86,720,472,3,1.525,RGB,False
PUPPP-23.jpg,../dataset/train/Urticaria Hives/PUPPP-23.jpg,Urticaria Hives,train,85.53,606,720,3,0.842,RGB,False
PUPPP-22.jpg,../dataset/train/Urticaria Hives/PUPPP-22.jpg,Urticaria Hives,train,103.66,720,591,3,1.218,RGB,False
hives-Urticaria-Acute-2.jpg,../dataset/train/Urticaria Hives/hives-Urticaria-Acute-2.jpg,Urticaria Hives,train,52.15,720,472,3,1.525,RGB,False
dermagraphism-30.jpg,../dataset/train/Urticaria Hives/dermagraphism-30.jpg,Urticaria Hives,train,72.49,720,472,3,1.525,RGB,False
dermagraphism-2.jpg,../dataset/train/Urticaria Hives/dermagraphism-2.jpg,Urticaria Hives,train,80.57,720,576,3,1.25,RGB,False
erythema-annulare-centrifugum-7.jpg,../dataset/train/Urticaria Hives/erythema-annulare-centrifugum-7.jpg,Urticaria Hives,train,82.17,720,491,3,1.466,RGB,False
Urticaria-Vasculitis-14.jpg,../dataset/train/Urticaria Hives/Urticaria-Vasculitis-14.jpg,Urticaria Hives,train,93.69,473,720,3,0.657,RGB,False
hives-Urticaria-Acute-98.jpg,../dataset/train/Urticaria Hives/hives-Urticaria-Acute-98.jpg,Urticaria Hives,train,92.8,584,720,3,0.811,RGB,False
