filename,filepath,label,split,file_size_kb,width,height,channels,aspect_ratio,mode,corrupt,hash
erythema-annulare-centrifugum-6.jpg,../dataset/train/Urticaria Hives/erythema-annulare-centrifugum-6.jpg,Urticaria Hives,train,80.16,477,720,3,0.662,RGB,False,48f769e1c060e10ea19bd733141e4b8a
hives-Urticaria-Acute-66.jpg,../dataset/train/Urticaria Hives/hives-Urticaria-Acute-66.jpg,Urticaria Hives,train,96.81,720,490,3,1.469,RGB,False,2217018e7fcc12f847d4eceb19180053
Urticaria-Vasculitis-15.jpg,../dataset/train/Urticaria Hives/Urticaria-Vasculitis-15.jpg,Urticaria Hives,train,101.68,474,720,3,0.658,RGB,False,09a35f0dbbb0b7d647579bd20bd308eb
hives-Urticaria-Acute-72.jpg,../dataset/train/Urticaria Hives/hives-Urticaria-Acute-72.jpg,Urticaria Hives,train,78.79,720,482,3,1.494,RGB,False,69abf7a44c436508c75d964bc98a91b0
dermagraphism-19.jpg,../dataset/train/Urticaria Hives/dermagraphism-19.jpg,Urticaria Hives,train,225.63,720,615,3,1.171,RGB,False,697aab45dfbd06eb72ae76d3eba301cf
dermagraphism-25.jpg,../dataset/train/Urticaria Hives/dermagraphism-25.jpg,Urticaria Hives,train,57.16,720,480,3,1.5,RGB,False,c0e7452e90f591ff1afbc0de283037e5
dermagraphism-3.jpg,../dataset/train/Urticaria Hives/dermagraphism-3.jpg,Urticaria Hives,train,169.11,720,596,3,1.208,RGB,False,4b35edef653e0e242228021f45d9bca6
dermagraphism-31.jpg,../dataset/train/Urticaria Hives/dermagraphism-31.jpg,Urticaria Hives,train,102.99,720,472,3,1.525,RGB,False,e6df4966ce86be6dd7c32557f21a3202
hives-Urticaria-Acute-3.jpg,../dataset/train/Urticaria Hives/hives-Urticaria-Acute-3.jpg,Urticaria Hives,train,94.86,720,472,3,1.525,RGB,False,27a70049673265a55d70bda340a63223
PUPPP-23.jpg,../dataset/train/Urticaria Hives/PUPPP-23.jpg,Urticaria Hives,train,85.53,606,720,3,0.842,RGB,False,fb1e8c7b37a24e2f147fa9227360d5b5
PUPPP-22.jpg,../dataset/train/Urticaria Hives/PUPPP-22.jpg,Urticaria Hives,train,103.66,720,591,3,1.218,RGB,False,bc706717c2c9916bfdf241490a3d3492
hives-Urticaria-Acute-2.jpg,../dataset/train/Urticaria Hives/hives-Urticaria-Acute-2.jpg,Urticaria Hives,train,52.15,720,472,3,1.525,RGB,False,9df71b05ce4ade3356428e9a418099cd
dermagraphism-30.jpg,../dataset/train/Urticaria Hives/dermagraphism-30.jpg,Urticaria Hives,train,72.49,720,472,3,1.525,RGB,False,37120846fc71f32604c9ca66c4c07975
dermagraphism-2.jpg,../dataset/train/Urticaria Hives/dermagraphism-2.jpg,Urticaria Hives,train,80.57,720,576,3,1.25,RGB,False,b798ed39b754215c60dee1c1b30a6672
erythema-annulare-centrifugum-7.jpg,../dataset/train/Urticaria Hives/erythema-annulare-centrifugum-7.jpg,Urticaria Hives,train,82.17,720,491,3,1.466,RGB,False,0dc7a8353abcff0fbe6910cb2e314185
Urticaria-Vasculitis-14.jpg,../dataset/train/Urticaria Hives/Urticaria-Vasculitis-14.jpg,Urticaria Hives,train,93.69,473,720,3,0.657,RGB,False,a1f54ea6e82a1ddecc7c8d428719ed7e
